"","...1","Species","Colony","depth","Site","File","Time","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","fv_fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv_Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s"
"78",78,"Leptoseris",5,45,"IUI south",20220712.08,"N","7/12/2022",34088,432.3,22.8,24.4,15.65,1114.4,1731.3,616.9,0.356,421.2,0.05,0.51,1121,0.25,2169,0.24,50000,"--------","-------",1465,13280,0,1693.9,1873.6,179.7,0.096,250.2,0,0.339,1197,0.656,12788,0.005,50000,"--------","-------",8836,9042,113.2
"79",79,"Leptoseris",5,45,"IUI south",20220712.08,"N","7/12/2022",34097,536.1,22.9,24.5,15.65,860.7,1388,527.3,0.38,416.2,0,0.69,1346,0.22,9331,0.09,470048,"--------","-------",3260,43772,0,1180.6,1317.1,136.5,0.104,252.2,0.06,0.419,1549,0.556,12553,0.025,50000,"--------","-------",7821,8863,127.9
"80",80,"Leptoseris",5,45,"IUI south",20220712.08,"N","7/12/2022",34107,416.9,22.9,24.5,15.65,1062.3,1611.6,549.3,0.341,429.9,0.13,0.31,1001,0.46,2319,0.23,50000,"--------","-------",1791,12794,0,1471.9,1642.4,170.5,0.104,257.1,0,0.418,1698,0.577,12817,0.005,50000,"--------","-------",8144,8338,122.8
"81",81,"Leptoseris",6,45,"IUI south",20220712.08,"N","7/12/2022",34157,507.8,22.6,24.5,15.64,1244,1769.6,525.6,0.297,373,0,0.55,883,0.25,4531,0.19,95187,"--------","-------",2030,19838,0,1729.9,1899.5,169.6,0.089,226.2,0,0.373,1129,0.623,11740,0.004,50000,"--------","-------",7769,7945,128.7
"82",82,"Leptoseris",6,45,"IUI south",20220712.08,"N","7/12/2022",34167,462,22.7,24.5,15.64,1313.6,1878.5,564.9,0.301,368.2,0,0.4,1236,0.38,2266,0.22,73902,"--------","-------",1743,17739,0,1572.8,1751.2,178.5,0.102,216.8,0,0.46,1620,0.535,12715,0.005,50000,"--------","-------",7584,7777,131.8
"83",83,"Leptoseris",6,45,"IUI south",20220712.08,"N","7/12/2022",34176,471.5,22.7,24.5,15.64,1207.1,1697.3,490.2,0.289,353,0,0.68,1253,0.2,10316,0.12,332245,"--------","-------",3281,42713,0,1594.4,1755.8,161.4,0.092,209,0,0.522,2020,0.473,13403,0.005,50000,"--------","-------",7435,7632,134.5
"84",84,"Leptoseris",6,45,"IUI south",20220712.08,"N","7/12/2022",34187,606.8,22.7,24.4,15.63,1026.9,1416.6,389.7,0.275,314,0.03,0.65,1297,0.2,11016,0.15,244824,"--------","-------",3577,39455,0,1442.1,1571.3,129.2,0.082,209.8,0,0.554,1950,0.437,21746,0.009,50000,"--------","-------",10681,11022,93.6
"85",85,"Leptoseris",6,45,"IUI south",20220712.09,"N","7/12/2022",34197,537.4,22.6,24.4,15.63,1453.5,1973.3,519.8,0.263,421.5,0,0.54,962,0.26,3745,0.21,88891,"--------","-------",1864,19847,0,1454,1597.8,143.8,0.09,210.9,0,0.541,1961,0.454,13265,0.005,50000,"--------","-------",7119,7330,140.5
"86",86,"Stylophora",5,45,"IUI south",20220712.09,"N","7/12/2022",34217,586.9,22.6,24.4,15.63,513.6,1043.3,529.7,0.508,359.1,0.17,0.51,154,0.38,1606,0.11,50000,"--------","-------",775,6188,0,1153.1,1315.8,162.6,0.124,191.9,0,0.275,1116,0.72,13169,0.005,50000,"--------","-------",9841,10050,101.6
"87",87,"Stylophora",5,45,"IUI south",20220712.09,"N","7/12/2022",34226,536,22.6,24.4,15.63,852.2,1685.3,833.1,0.494,374.7,0.14,0.47,152,0.45,1691,0.08,77953,"--------","-------",901,7076,0,1698,1899.3,201.3,0.106,221.9,0,0.159,1228,0.838,11163,0.003,50000,"--------","-------",9582,9723,104.4
"88",88,"Stylophora",5,45,"IUI south",20220712.09,"N","7/12/2022",34240,399,22.7,24.4,15.63,717,1548.1,831.2,0.537,443.2,0.17,0.5,131,0.41,1558,0.09,52426,"--------","-------",779,5590,0,1645.3,1856.7,211.4,0.114,226.1,0,0.212,1052,0.783,13836,0.005,50000,"--------","-------",11118,11313,89.9
"89",89,"Stylophora",5,45,"IUI south",20220712.09,"N","7/12/2022",34254,645.2,22.6,24.5,15.62,514.2,1084.4,570.2,0.526,365.7,0.19,0.49,148,0.44,1731,0.06,75302,"--------","-------",897,5706,0,1123.4,1276.3,152.9,0.12,201.2,0,0.301,1276,0.695,11450,0.004,50000,"--------","-------",8376,8554,119.4
"90",90,"Stylophora",5,45,"IUI south",20220712.09,"N","7/12/2022",34264,555.8,22.6,24.5,15.62,503.6,1103.7,600.1,0.544,372.6,0.21,0.43,135,0.46,1561,0.1,56509,"--------","-------",872,6531,0,1141.2,1305.7,164.5,0.126,186.4,0,0.256,986,0.74,12394,0.005,50000,"--------","-------",9463,9649,105.7
"91",91,"Stylophora",6,45,"IUI south",20220712.09,"N","7/12/2022",34296,717.8,22.6,24.4,15.61,453.3,931.5,478.2,0.513,259.4,0.15,0.59,518,0.24,3948,0.17,50000,"--------","-------",1528,9740,0,940.5,1089.3,148.8,0.137,170.3,0.03,0.309,731,0.687,11515,0.004,50000,"--------","-------",8169,8354,122.4
"92",92,"Stylophora",6,45,"IUI south",20220712.09,"N","7/12/2022",34305,652,22.6,24.5,15.61,362.2,754.6,392.4,0.52,290,0.2,0.41,130,0.45,1688,0.14,50000,"--------","-------",939,7882,0,677.9,786.9,109,0.139,166.5,0.04,0.354,1064,0.641,13253,0.005,50000,"--------","-------",8912,9114,112.2
"93",93,"Stylophora",6,45,"IUI south",20220712.09,"N","7/12/2022",34315,548.1,22.6,24.5,15.61,535.6,1113.9,578.3,0.519,337.6,0.07,0.65,578,0.23,4025,0.12,69039,"--------","-------",1474,9346,0,1237.9,1417.1,179.2,0.126,181.9,0,0.273,692,0.722,12751,0.005,50000,"--------","-------",9439,9649,105.9
"94",94,"Stylophora",6,45,"IUI south",20220712.09,"N","7/12/2022",34324,542.4,22.7,24.5,15.6,613.9,1196.1,582.2,0.487,316.2,0.12,0.52,798,0.37,3195,0.11,64122,"--------","-------",1805,8550,0,1381.4,1568.5,187.1,0.119,204.2,0,0.295,1671,0.699,13843,0.005,50000,"--------","-------",10227,10439,97.8
"95",95,"Stylophora",6,45,"IUI south",20220712.1,"N","7/12/2022",34341,545.7,22.7,24.5,15.61,456,911.7,455.7,0.5,320.8,0.17,0.5,522,0.41,4066,0.09,50000,"--------","-------",2115,6530,0,701.1,820.3,119.3,0.145,186.9,0,0.402,1360,0.593,13878,0.005,50000,"--------","-------",8820,9020,113.4
"96",96,"Leptoseris",7,45,"IUI south",20220712.1,"N","7/12/2022",34359,588.9,22.7,24.5,15.6,874.5,1491.2,616.7,0.414,355.4,0.08,0.71,1077,0.17,8727,0.12,103125,"--------","-------",2543,15106,0,1423.4,1578.2,154.8,0.098,231.8,0.22,0.26,1676,0.703,11232,0.037,50000,"--------","-------",8649,10184,115.6
"97",97,"Leptoseris",7,45,"IUI south",20220712.1,"N","7/12/2022",34367,501.9,22.6,24.5,15.6,928.4,1543.4,615,0.398,389.9,0.03,0.71,1018,0.2,8885,0.08,507285,"--------","-------",2760,44288,0,1480.6,1648.8,168.2,0.102,196.3,0,0.292,1524,0.703,12474,0.005,50000,"--------","-------",9258,9451,108
"98",98,"Leptoseris",7,45,"IUI south",20220712.1,"N","7/12/2022",34375,426.8,22.7,24.5,15.6,1007,1736.1,729.1,0.42,434.9,0.09,0.66,877,0.2,5024,0.14,89007,"--------","-------",1836,13842,0,1143.9,1308.1,164.3,0.126,237.3,0.2,0.207,1740,0.75,11526,0.043,50000,"--------","-------",9409,11164,106.3
"99",99,"Leptoseris",7,45,"IUI south",20220712.1,"N","7/12/2022",34386,639.1,22.7,24.6,15.6,835.7,1407.2,571.5,0.406,327.7,0.07,0.44,503,0.45,2755,0.11,89027,"--------","-------",1636,11254,0,1390.3,1548.5,158.2,0.102,190.9,0,0.317,1422,0.679,12725,0.005,50000,"--------","-------",9130,9326,109.5
"100",100,"Leptoseris",7,45,"IUI south",20220712.1,"N","7/12/2022",34394,447.4,22.7,24.6,15.59,1016.6,1746.1,729.5,0.418,454,0.13,0.68,1016,0.15,5064,0.17,63138,"--------","-------",1747,11921,0,1904.5,2063.5,159,0.077,267.4,0.01,0.237,2007,0.759,14738,0.005,50000,"--------","-------",11711,11891,85.4
"101",101,"Stylophora",1,25,"IUI south",20220712.1,"N","7/12/2022",34757,900,13.1,25.7,15.54,522.4,929.2,406.7,0.438,339.8,0.11,0.61,916,0.26,4608,0.13,99355,"--------","-------",2025,15089,0,876,1000.1,124.1,0.124,227.1,0,0.297,797,0.699,7998,0.003,50000,"--------","-------",5850,5997,170.9
"102",102,"Stylophora",1,25,"IUI south",20220712.1,"N","7/12/2022",34769,403.9,13.1,25.7,15.53,725.2,1410.1,684.9,0.486,462,0.17,0.66,617,0.28,5304,0.06,500055,"--------","-------",2032,31212,0,1574.3,1759,184.8,0.105,204.9,0,0.17,1825,0.822,16617,0.008,50000,"--------","-------",14084,14373,71
"103",103,"Stylophora",1,25,"IUI south",20220712.1,"N","7/12/2022",34783,384.1,13.1,25.7,15.52,574.4,1080.1,505.7,0.468,413.3,0.14,0.6,855,0.32,5536,0.08,624022,"--------","-------",2493,51264,0,1433.5,1587.4,153.9,0.097,199.8,0,0.168,2022,0.824,17919,0.009,50000,"--------","-------",15228,15525,65.7
"104",104,"Stylophora",1,25,"IUI south",20220712.1,"N","7/12/2022",34795,900,13,25.7,15.52,639,1082.4,443.4,0.41,363.7,0.01,0.35,278,0.43,2087,0.23,50000,"--------","-------",1275,12239,0,1478.4,1649,170.6,0.103,238.7,0,0.347,1667,0.649,9670,0.004,50000,"--------","-------",6881,7033,145.3
"105",105,"Stylophora",1,25,"IUI south",20220712.11,"N","7/12/2022",34818,900,13,25.7,15.52,113.2,193.5,80.3,0.415,265.6,0.09,0.22,1855,0.48,2494,0.3,50000,"--------","-------",2291,16723,500,133.3,159.8,26.5,0.166,181.9,0.19,0.56,1546,0.436,10590,0.004,50000,"--------","-------",5503,5692,181.7
"106",106,"Stylophora",2,25,"IUI south",20220712.11,"N","7/12/2022",34878,630,12.7,24.9,15.51,659.3,1286.5,627.3,0.488,490,0.11,0.6,913,0.29,5758,0.11,167566,"--------","-------",2476,20565,0,1639.6,1791.5,151.9,0.085,224.5,0,0.143,1119,0.854,14051,0.003,50000,"--------","-------",12197,12317,82
"107",107,"Stylophora",2,25,"IUI south",20220712.11,"N","7/12/2022",34889,523.2,12.7,24.9,15.51,542.3,1108.5,566.2,0.511,495.3,0.02,0.43,1119,0.32,1530,0.25,50000,"--------","-------",1294,13672,0,1360.6,1528.9,168.3,0.11,206.4,0,0.246,1292,0.749,14777,0.006,50000,"--------","-------",11447,11667,87.4
"108",108,"Stylophora",2,25,"IUI south",20220712.11,"N","7/12/2022",34899,611.8,12.7,24.9,15.51,760.6,1398.4,637.9,0.456,449.6,0.1,0.65,628,0.28,6565,0.07,543525,"--------","-------",2406,42831,0,1324.7,1514.9,190.1,0.126,207.4,0,0.341,1475,0.654,12588,0.005,50000,"--------","-------",8775,8975,114
"109",109,"Stylophora",2,25,"IUI south",20220712.11,"N","7/12/2022",34910,900,12.7,24.8,15.51,385.7,681.5,295.8,0.434,346.3,0.09,0.48,1016,0.22,1596,0.3,50000,"--------","-------",1198,15662,0,783.9,891.1,107.2,0.12,179,0,0.302,1487,0.693,13217,0.005,50000,"--------","-------",9660,9852,103.5
"110",110,"Stylophora",2,25,"IUI south",20220712.11,"N","7/12/2022",34927,781.5,12.7,24.8,15.5,638.6,1117.2,478.6,0.428,372.1,0.09,0.65,838,0.15,6689,0.19,58279,"--------","-------",1931,12891,0,1271.8,1434.9,163.1,0.114,191.2,0,0.34,1651,0.654,13098,0.005,50000,"--------","-------",9181,9391,108.9
"111",111,"Stylophora",3,25,"IUI south",20220712.11,"N","7/12/2022",34961,900,13,24.8,15.5,909.5,1649.2,739.8,0.449,409.4,0.13,0.64,591,0.23,5375,0.13,90528,"--------","-------",1860,13520,0,1680.2,1930.5,250.4,0.13,265.7,0,0.379,1252,0.616,9537,0.005,50000,"--------","-------",6383,6610,156.7
"112",112,"Stylophora",3,25,"IUI south",20220712.11,"N","7/12/2022",34977,867.2,13.1,24.9,15.49,563.5,1031.6,468,0.454,343.7,0.09,0.63,1199,0.25,11891,0.12,259737,"--------","-------",4209,34178,0,1004.3,1141.4,137.2,0.12,210.2,0,0.39,2178,0.602,16299,0.008,50000,"--------","-------",10748,11048,93
"113",113,"Stylophora",3,25,"IUI south",20220712.11,"N","7/12/2022",34989,607,13.1,24.8,15.49,1048.6,1828.9,780.3,0.427,570.5,0.22,0.64,1046,0.22,5896,0.15,50000,"--------","-------",2266,9204,0,2126,2203.5,77.6,0.035,323.5,0,0.754,34,0.246,10565,0,50000,"--------","-------",2623,2635,381.3
"114",114,"Stylophora",3,25,"IUI south",20220712.11,"N","7/12/2022",35005,900,13,24.9,15.49,501.4,931.4,429.9,0.462,333.7,0.08,0.3,130,0.51,1704,0.19,50000,"--------","-------",1121,10571,0,1061.1,1224.7,163.7,0.134,218.2,0,0.286,1526,0.709,10608,0.005,50000,"--------","-------",7999,8192,125
"115",115,"Stylophora",3,25,"IUI south",20220712.12,"N","7/12/2022",35016,698.7,13,24.8,15.49,672.4,1250.5,578.1,0.462,513.9,0.09,0.69,924,0.2,15105,0.11,186207,"--------","-------",4174,23990,0,1335.5,1496.8,161.3,0.108,226.6,0,0.226,1591,0.77,10351,0.004,50000,"--------","-------",8363,8521,119.6
"116",116,"Stylophora",4,25,"IUI south",20220712.12,"N","7/12/2022",35042,628.2,12.6,24.9,15.48,660.9,1239.4,578.5,0.467,442.7,0.16,0.7,777,0.24,6732,0.06,463825,"--------","-------",2290,28111,0,1439,1633.9,194.9,0.119,231.1,0.18,0.152,1100,0.809,12064,0.039,50000,"--------","-------",10326,11868,96.8
"117",117,"Stylophora",4,25,"IUI south",20220712.12,"N","7/12/2022",35052,900,12.6,24.9,15.48,517.8,869.1,351.2,0.404,316.1,0.03,0.33,1549,0.39,1579,0.29,50316,"--------","-------",1565,15574,0,888.3,1024.9,136.6,0.133,180.7,0.12,0.366,2287,0.627,15574,0.007,50000,"--------","-------",10672,10933,93.7
"118",118,"Stylophora",4,25,"IUI south",20220712.12,"N","7/12/2022",35062,861.4,12.7,24.9,15.48,497.6,815,317.4,0.389,365.7,0.11,0.31,1353,0.47,2064,0.21,62110,"--------","-------",1780,14544,0,921.1,1028.6,107.5,0.104,169.5,0.05,0.149,1768,0.847,12029,0.004,50000,"--------","-------",10493,10652,95.3
"119",119,"Stylophora",4,25,"IUI south",20220712.12,"N","7/12/2022",35071,900,12.6,25.1,15.48,495.4,809.1,313.7,0.388,343,0.05,0.53,1467,0.26,1469,0.21,63086,"--------","-------",1468,14485,0,812.4,921.1,108.6,0.118,178.2,0,0.459,2888,0.535,11793,0.007,50000,"--------","-------",7681,7957,130.2
"120",120,"Stylophora",4,25,"IUI south",20220712.12,"N","7/12/2022",35082,602.1,12.7,25,15.48,585.4,1117.5,532,0.476,467.3,0.03,0.49,1257,0.32,1548,0.2,60176,"--------","-------",1372,12850,0,1376.4,1537.5,161.1,0.105,211.3,0,0.204,2130,0.792,12842,0.005,50000,"--------","-------",10649,10830,93.9
"121",121,"Stylophora",5,25,"IUI south",20220712.12,"N","7/12/2022",35128,900,12.9,25,15.46,530.2,788.6,258.4,0.328,270.4,0.12,0.61,1206,0.28,12540,0.11,262934,"--------","-------",4729,32743,0,842.4,935,92.6,0.099,170,0.15,0.374,3246,0.62,11157,0.006,50000,"--------","-------",8180,8450,122.3
"122",122,"Stylophora",5,25,"IUI south",20220712.12,"N","7/12/2022",35137,868.4,12.8,25,15.47,399.2,628.3,229.1,0.365,276.1,0.02,0.39,816,0.38,3812,0.23,91440,"--------","-------",2289,22724,0,266.8,306.3,39.5,0.129,218.1,0,0.345,1161,0.646,14053,0.01,72708,"--------","-------",9568,10175,104.5
"123",123,"Stylophora",5,25,"IUI south",20220712.12,"N","7/12/2022",35150,731.2,12.9,25,15.46,626.9,1056.5,429.6,0.407,334.2,0.18,0.46,130,0.42,1914,0.12,60433,"--------","-------",975,7942,0,948.8,1060.7,111.9,0.106,180.2,0,0.217,2270,0.778,13014,0.005,50000,"--------","-------",10668,10875,93.7
"124",124,"Stylophora",5,25,"IUI south",20220712.12,"N","7/12/2022",35166,638.9,12.8,25,15.46,633.5,1183.6,550.1,0.465,341.3,0.02,0.4,579,0.4,2388,0.2,50000,"--------","-------",1476,11043,0,1191.5,1350.9,159.3,0.118,186.6,0,0.282,2220,0.713,12833,0.005,50000,"--------","-------",9824,10044,101.8
"125",125,"Stylophora",5,25,"IUI south",20220712.13,"N","7/12/2022",35175,717.1,12.8,25,15.46,664.5,1097.9,433.3,0.395,301,0.03,0.2,607,0.54,1811,0.25,50000,"--------","-------",1485,13798,0,1099.3,1240.8,141.5,0.114,187.7,0,0.182,1919,0.814,11852,0.004,50000,"--------","-------",10040,10204,99.6
"126",126,"Porites",1,25,"IUI south",20220712.13,"N","7/12/2022",35194,900,13,25.2,15.46,659.8,903.9,244.2,0.27,388.1,0,0.42,1554,0.31,1676,0.27,55134,"--------","-------",1606,16101,0,764.4,853.4,89,0.104,254.6,0,0.563,1165,0.431,13032,0.006,50000,"--------","-------",6306,6567,158.6
"127",127,"Porites",1,25,"IUI south",20220712.13,"N","7/12/2022",35203,688.2,13,25.2,15.45,1066.9,1582.6,515.7,0.326,469.6,0.26,0.58,1611,0.21,5342,0.21,50000,"--------","-------",2623,12520,0,1755.5,1929.1,173.6,0.09,299.2,0,0.466,1613,0.528,11299,0.005,50000,"--------","-------",6756,6992,148
"128",128,"Porites",1,25,"IUI south",20220712.13,"N","7/12/2022",35212,481.7,13.1,25.1,15.45,1337.1,2153.5,816.4,0.379,656.9,0.23,0.67,1176,0.17,7360,0.17,91168,"--------","-------",2419,17280,0,2045.6,2192.8,147.2,0.067,4243.8,0.67,0.574,310,0.399,8850,0.027,482682,"--------","-------",3811,16894,262.4
"129",129,"Porites",1,25,"IUI south",20220712.13,"N","7/12/2022",35221,337.2,13.1,25.1,15.45,1311,2107.8,796.9,0.378,691.1,0.2,0.72,1410,0.18,9107,0.1,281530,"--------","-------",2915,30886,0,2017.8,2175.6,157.9,0.073,805.5,0.01,0.236,1225,0.761,7791,0.003,50000,"--------","-------",6238,6350,160.3
"130",130,"Porites",1,25,"IUI south",20220712.13,"N","7/12/2022",35230,675.7,13,25.1,15.45,1148.4,1784,635.5,0.356,525.6,0.17,0.54,888,0.22,3343,0.24,68088,"--------","-------",1589,17517,0,1690.4,1884.7,194.4,0.103,278.2,0.02,0.518,1831,0.45,12123,0.031,50000,"--------","-------",6615,7979,151.2
"131",131,"Porites",2,25,"IUI south",20220712.13,"N","7/12/2022",35263,473,13.1,25.1,15.45,1187.7,2090.2,902.5,0.432,582,0.06,0.51,1153,0.31,1427,0.18,50000,"--------","-------",1256,10154,0,2087.5,2192.4,105,0.048,3306.7,0.7,0.554,300,0.421,11572,0.026,85153,"--------","-------",5167,7219,193.5
"132",132,"Porites",2,25,"IUI south",20220712.13,"N","7/12/2022",35275,331.1,13.2,25.1,15.45,1172.2,2062.6,890.4,0.432,588.5,0.08,0.68,886,0.16,5046,0.16,59336,"--------","-------",1676,10727,0,2165.5,2209.1,43.7,0.02,270.6,0.16,0.712,35,0.287,11382,0.002,50000,"--------","-------",3292,3365,303.8
"133",133,"Porites",2,25,"IUI south",20220712.13,"N","7/12/2022",35283,231.8,13.2,25.1,15.45,1224.1,2122.9,898.7,0.423,596.7,0.03,0.61,899,0.26,3853,0.13,101192,"--------","-------",1791,14924,0,2070.9,2198,127.2,0.058,601.6,0.24,0.718,51,0.281,9719,0.002,50000,"--------","-------",2769,2850,361.1
"134",134,"Porites",2,25,"IUI south",20220712.13,"N","7/12/2022",35295,226,13.1,25.1,15.44,1230.2,2131,900.7,0.423,586,0.09,0.62,929,0.2,4549,0.18,66708,"--------","-------",1815,13525,0,2109.1,2200.8,91.7,0.042,538.8,0.38,0.719,39,0.278,11045,0.003,50000,"--------","-------",3111,3232,321.4
"135",135,"Porites",2,25,"IUI south",20220712.14,"N","7/12/2022",35311,798.2,13,25.1,15.44,650.8,1294.9,644,0.497,413.3,0,0.58,1120,0.21,1156,0.21,50000,"--------","-------",1130,11514,0,1328,1468.7,140.7,0.096,203.2,0,0.145,1539,0.851,10718,0.003,50000,"--------","-------",9379,9515,106.6
"136",136,"Porites",3,25,"IUI south",20220712.14,"N","7/12/2022",35350,558.7,13.5,25.2,15.43,1425.7,2171.8,746.1,0.344,794.6,0.18,0.62,949,0.24,5363,0.14,83158,"--------","-------",2173,13392,0,2042.2,2192.8,150.6,0.069,4544.7,0.6,0.281,124,0.702,9049,0.017,207884,"--------","-------",6500,9891,153.9
"137",137,"Porites",3,25,"IUI south",20220712.14,"N","7/12/2022",35359,376.6,13.5,25.2,15.43,1235.5,1970.2,734.6,0.373,582.1,0.03,0.6,1043,0.26,5621,0.14,271253,"--------","-------",2414,40236,0,1932.6,2122.1,189.5,0.089,297.4,0.01,0.163,1829,0.835,11326,0.002,50000,"--------","-------",9775,9871,102.3
"138",138,"Porites",3,25,"IUI south",20220712.14,"N","7/12/2022",35370,573.6,13.4,25.2,15.43,1150.3,1697.2,546.9,0.322,442.3,0.01,0.68,1402,0.15,6654,0.17,105128,"--------","-------",2340,19595,0,1846.4,2006.9,160.6,0.08,273.9,0.01,0.16,2324,0.837,9962,0.003,50000,"--------","-------",8733,8839,114.5
"139",139,"Porites",3,25,"IUI south",20220712.14,"N","7/12/2022",35391,773.5,13.3,25.2,15.42,1068.6,1511.8,443.2,0.293,364.4,0.04,0.5,1242,0.29,6849,0.21,102191,"--------","-------",3278,24441,0,1129.6,1255,125.4,0.1,216.8,0,0.005,6834,0.994,7030,0.001,50000,"--------","-------",7029,7090,142.3
"140",140,"Porites",3,25,"IUI south",20220712.14,"N","7/12/2022",35405,754,13.4,25.2,15.42,993.5,1437.4,443.9,0.309,368.3,0.05,0.39,1277,0.33,2760,0.27,50000,"--------","-------",1959,15102,0,1491.2,1629.8,138.6,0.085,214.8,0,0.412,3074,0.583,10289,0.005,50000,"--------","-------",7302,7516,136.9
"141",141,"Leptoseris",1,25,"IUI south",20220712.14,"N","7/12/2022",35452,527.8,13,25.3,15.42,1016.1,1896.2,880.1,0.464,531.1,0.07,0.39,334,0.45,2196,0.16,60320,"--------","-------",1334,10668,0,2175.2,2218,42.8,0.019,136.8,0.01,0.783,20,0.207,16000,0.01,50000,"--------","-------",3355,3815,298
"142",142,"Leptoseris",1,25,"IUI south",20220712.14,"N","7/12/2022",35460,369.4,13,25.3,15.42,793.6,1517,723.4,0.477,458.5,0.05,0.71,1270,0.12,9846,0.17,56524,"--------","-------",2527,11728,0,1822,1972.4,150.4,0.076,229.4,0,0.2,1041,0.796,14882,0.004,50000,"--------","-------",12101,12264,82.6
"143",143,"Leptoseris",1,25,"IUI south",20220712.14,"N","7/12/2022",35471,258.6,13,25.4,15.41,1056.4,1833,776.7,0.424,503.6,0.04,0.7,1236,0.09,5990,0.21,50000,"--------","-------",1775,11779,0,2034.9,2240.5,205.5,0.092,231.5,0.04,0.761,33,0.232,12135,0.006,50000,"--------","-------",2863,3160,349.3
"144",144,"Leptoseris",1,25,"IUI south",20220712.14,"N","7/12/2022",35479,181,12.9,25.4,15.42,1309.6,2171.3,861.7,0.397,753.9,0.3,0.66,1297,0.1,7402,0.24,50000,"--------","-------",2107,13572,0,2109.2,2208,98.8,0.045,540.2,0.28,0.741,39,0.257,11008,0.002,50000,"--------","-------",2866,2973,349
"145",145,"Leptoseris",1,25,"IUI south",20220712.15,"N","7/12/2022",35489,334,12.9,25.4,15.41,891.7,1610.2,718.6,0.446,516.6,0.02,0.29,1526,0.48,1526,0.22,50000,"--------","-------",1526,12320,0,1997.5,2149.4,151.9,0.071,162.7,0,0.309,91,0.678,13047,0.013,50000,"--------","-------",8994,9529,111.2
"146",146,"Porites",4,25,"IUI south",20220712.15,"N","7/12/2022",35572,783.9,13.7,25.1,15.4,950.2,1495.9,545.7,0.365,393.3,0.17,0.5,1061,0.26,2435,0.24,50000,"--------","-------",1529,13365,0,1657.6,1833.5,175.8,0.096,224,0,0.278,791,0.717,10420,0.005,50000,"--------","-------",7728,7924,129.4
"147",147,"Porites",4,25,"IUI south",20220712.15,"N","7/12/2022",35588,688.4,13.8,25.1,15.4,1225.8,2098.3,872.5,0.416,606.6,0.12,0.71,950,0.18,7384,0.12,126101,"--------","-------",2226,16549,0,1784.3,1841.8,57.5,0.031,125.9,0,0.127,88,0.866,13104,0.007,50000,"--------","-------",11435,11696,87.4
"148",148,"Porites",4,25,"IUI south",20220712.15,"N","7/12/2022",35599,900,13.7,25.1,15.4,860,1241,381,0.307,459,0.12,0.6,726,0.32,5492,0.08,690418,"--------","-------",2379,56442,0,1173.6,1314.9,141.3,0.107,240,0,0.596,2341,0.399,12558,0.004,50000,"--------","-------",6438,6628,155.3
"149",149,"Porites",4,25,"IUI south",20220712.15,"N","7/12/2022",35608,900,13.6,25.1,15.39,933.7,1329.9,396.1,0.298,434.2,0.08,0.66,1224,0.16,10660,0.18,66790,"--------","-------",3075,14367,0,1213.8,1333.5,119.7,0.09,217.2,0,0.623,4051,0.37,11419,0.007,50000,"--------","-------",6799,7109,147.1
"150",150,"Porites",4,25,"IUI south",20220712.15,"N","7/12/2022",35617,882.7,13.6,25.2,15.39,963.5,1436,472.5,0.329,466,0.12,0.58,687,0.28,6093,0.14,113863,"--------","-------",2435,18014,0,1470.5,1619.8,149.3,0.092,259.4,0,0.533,2087,0.463,10402,0.004,50000,"--------","-------",5951,6121,168
