"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"145","Erythrastrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"146","Euphyllia","MKN8968",0,"IUI-S","35","IUI-S_35"
"147","Favites","MKN8968",0,"IUI-S","35","IUI-S_35"
"148","Fungia","MKN8968",0,"IUI-S","35","IUI-S_35"
"149","Galaxea","MKN8968",0,"IUI-S","35","IUI-S_35"
"150","Goniastrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"151","Goniopora","MKN8968",0,"IUI-S","35","IUI-S_35"
"152","Gyrosmilia","MKN8968",6,"IUI-S","35","IUI-S_35"
"153","HC","MKN8968",0,"IUI-S","35","IUI-S_35"
"154","Hydnophora","MKN8968",0,"IUI-S","35","IUI-S_35"
"155","Leptastrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"156","Leptoseris","MKN8968",0,"IUI-S","35","IUI-S_35"
"157","Lobophyllia","MKN8968",0,"IUI-S","35","IUI-S_35"
"158","Madracis","MKN8968",0,"IUI-S","35","IUI-S_35"
"159","Merulina","MKN8968",0,"IUI-S","35","IUI-S_35"
"160","Montipora","MKN8968",1,"IUI-S","35","IUI-S_35"
"161","Mycedium","MKN8968",0,"IUI-S","35","IUI-S_35"
"162","Oxypora","MKN8968",0,"IUI-S","35","IUI-S_35"
"163","Pachyseris","MKN8968",0,"IUI-S","35","IUI-S_35"
"164","Paramontastraea","MKN8968",0,"IUI-S","35","IUI-S_35"
"165","Pavona","MKN8968",0,"IUI-S","35","IUI-S_35"
"166","Platygyra","MKN8968",0,"IUI-S","35","IUI-S_35"
"167","Plerogyra","MKN8968",0,"IUI-S","35","IUI-S_35"
"168","Pocillopora","MKN8968",0,"IUI-S","35","IUI-S_35"
"169","Podbacia","MKN8968",0,"IUI-S","35","IUI-S_35"
"170","Porites","MKN8968",2,"IUI-S","35","IUI-S_35"
"171","Psammocora","MKN8968",0,"IUI-S","35","IUI-S_35"
"172","Sclerophyllia","MKN8968",0,"IUI-S","35","IUI-S_35"
"173","Seriatopora","MKN8968",0,"IUI-S","35","IUI-S_35"
"174","Siderastrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"175","Stylophora","MKN8968",0,"IUI-S","35","IUI-S_35"
"176","Turbinaria","MKN8968",0,"IUI-S","35","IUI-S_35"
"177","Acanthastrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"178","Acropora","MKN8984",1,"IUI-S","35","IUI-S_35"
"179","Alveopora","MKN8984",0,"IUI-S","35","IUI-S_35"
"180","Astrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"181","Astreopora","MKN8984",0,"IUI-S","35","IUI-S_35"
"182","Blastomussa","MKN8984",0,"IUI-S","35","IUI-S_35"
"183","Coscinaraea","MKN8984",0,"IUI-S","35","IUI-S_35"
"184","Cynarina","MKN8984",0,"IUI-S","35","IUI-S_35"
"185","Cyphastrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"186","Dipsastraea","MKN8984",0,"IUI-S","35","IUI-S_35"
"187","Echinophyllia","MKN8984",0,"IUI-S","35","IUI-S_35"
"188","Echinopora","MKN8984",0,"IUI-S","35","IUI-S_35"
"189","Erythrastrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"190","Euphyllia","MKN8984",0,"IUI-S","35","IUI-S_35"
"191","Favites","MKN8984",0,"IUI-S","35","IUI-S_35"
"192","Fungia","MKN8984",0,"IUI-S","35","IUI-S_35"
"193","Galaxea","MKN8984",0,"IUI-S","35","IUI-S_35"
"194","Goniastrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"195","Goniopora","MKN8984",0,"IUI-S","35","IUI-S_35"
"196","Gyrosmilia","MKN8984",4,"IUI-S","35","IUI-S_35"
"197","HC","MKN8984",0,"IUI-S","35","IUI-S_35"
"198","Hydnophora","MKN8984",0,"IUI-S","35","IUI-S_35"
"199","Leptastrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"200","Leptoseris","MKN8984",0,"IUI-S","35","IUI-S_35"
"201","Lobophyllia","MKN8984",0,"IUI-S","35","IUI-S_35"
