"","PIC","SITE","DEPTH"
"MKN9271","MKN9271","JG","45"
"MKN9272","MKN9272","JG","45"
"MKN9273","MKN9273","JG","45"
"MKN9274","MKN9274","JG","45"
"MKN9275","MKN9275","JG","45"
"MKN9276","MKN9276","JG","45"
"MKN9277","MKN9277","JG","45"
"MKN9278","MKN9278","JG","45"
"MKN9279","MKN9279","JG","45"
"MKN9280","MKN9280","JG","45"
"MKN9281","MKN9281","JG","45"
"MKN8999","MKN8999","IUI-S","35"
"MKN9126","MKN9126","IUI-N","45"
"MKN9007","MKN9007","IUI-S","25"
"MKN9073","MKN9073","IUI-S","5"
"MKN8971","MKN8971","IUI-S","35"
"MKN8976","MKN8976","IUI-S","35"
"MKN9005","MKN9005","IUI-S","25"
"MKN9011","MKN9011","IUI-S","25"
"MKN9018","MKN9018","IUI-S","25"
"MKN9028","MKN9028","IUI-S","25"
"MKN9078","MKN9078","IUI-S","5"
"MKN9108","MKN9108","IUI-N","45"
"MKN9120","MKN9120","IUI-N","45"
"MKN9121","MKN9121","IUI-N","45"
"MKN9212","MKN9212","IUI-N","15"
"MKN9395","MKN9395","JG","5"
"MKN9022","MKN9022","IUI-S","25"
"MKN9000","MKN9000","IUI-S","35"
"MKN9027","MKN9027","IUI-S","25"
"MKN9128","MKN9128","IUI-N","45"
"MKN9343","MKN9343","JG","15"
"MKN8970","MKN8970","IUI-S","35"
"MKN8972","MKN8972","IUI-S","35"
"MKN8973","MKN8973","IUI-S","35"
"MKN8974","MKN8974","IUI-S","35"
"MKN8975","MKN8975","IUI-S","35"
"MKN8977","MKN8977","IUI-S","35"
"MKN8978","MKN8978","IUI-S","35"
"MKN8980","MKN8980","IUI-S","35"
"MKN8981","MKN8981","IUI-S","35"
"MKN8982","MKN8982","IUI-S","35"
"MKN8983","MKN8983","IUI-S","35"
"MKN8985","MKN8985","IUI-S","35"
"MKN8986","MKN8986","IUI-S","35"
"MKN8987","MKN8987","IUI-S","35"
"MKN8993","MKN8993","IUI-S","35"
"MKN8994","MKN8994","IUI-S","35"
"MKN8995","MKN8995","IUI-S","35"
"MKN8996","MKN8996","IUI-S","35"
"MKN8997","MKN8997","IUI-S","35"
"MKN8998","MKN8998","IUI-S","35"
"MKN9001","MKN9001","IUI-S","35"
"MKN9008","MKN9008","IUI-S","25"
"MKN9017","MKN9017","IUI-S","25"
"MKN9019","MKN9019","IUI-S","25"
"MKN9020","MKN9020","IUI-S","25"
"MKN9029","MKN9029","IUI-S","25"
"MKN9038","MKN9038","IUI-S","15"
"MKN9041","MKN9041","IUI-S","15"
"MKN9042","MKN9042","IUI-S","15"
"MKN9043","MKN9043","IUI-S","15"
"MKN9051","MKN9051","IUI-S","15"
"MKN9058","MKN9058","IUI-S","15"
"MKN9059","MKN9059","IUI-S","15"
"MKN9061","MKN9061","IUI-S","15"
"MKN9068","MKN9068","IUI-S","5"
"MKN9070","MKN9070","IUI-S","5"
"MKN9071","MKN9071","IUI-S","5"
"MKN9072","MKN9072","IUI-S","5"
"MKN9076","MKN9076","IUI-S","5"
"MKN9082","MKN9082","IUI-S","5"
"MKN9084","MKN9084","IUI-S","5"
"MKN9086","MKN9086","IUI-S","5"
"MKN9087","MKN9087","IUI-S","5"
"MKN9089","MKN9089","IUI-S","5"
"MKN9091","MKN9091","IUI-S","5"
"MKN9094","MKN9094","IUI-S","5"
"MKN9096","MKN9096","IUI-S","5"
"MKN9124","MKN9124","IUI-N","45"
"MKN9224","MKN9224","IUI-N","15"
"MKN9237","MKN9237","IUI-N","5"
"MKN9238","MKN9238","IUI-N","5"
"MKN9288","MKN9288","JG","35"
"MKN9289","MKN9289","JG","35"
"MKN9349","MKN9349","JG","15"
"MKN9370","MKN9370","JG","15"
"MKN9375","MKN9375","JG","5"
"MKN9376","MKN9376","JG","5"
"MKN9383","MKN9383","JG","5"
"MKN9387","MKN9387","JG","5"
"MKN9393","MKN9393","JG","5"
"MKN9146","MKN9146","IUI-N","35"
"MKN9002","MKN9002","IUI-S","35"
"MKN9129","MKN9129","IUI-N","45"
"MKN9139","MKN9139","IUI-N","35"
"MKN9295","MKN9295","JG","35"
"MKN9307","MKN9307","JG","35"
"MKN9323","MKN9323","JG","25"
"MKN8969","MKN8969","IUI-S","35"
"MKN8991","MKN8991","IUI-S","35"
"MKN8992","MKN8992","IUI-S","35"
"MKN9130","MKN9130","IUI-N","45"
"MKN9039","MKN9039","IUI-S","15"
"MKN9063","MKN9063","IUI-S","15"
"MKN9055","MKN9055","IUI-S","15"
"MKN9200","MKN9200","IUI-N","15"
